Exported & Documented Builtins Predicates by MD File - 2019/7/1

MD File                 Predicate                BltFile       Module    MdFileTitle             
leash.md                leash/1                  debugger.pro  debugger  leash/1                 
length.md               length/2                 blt_term.pro  builtins  length/2                
listing.md              listing/0                blt_std.pro   builtins  listing/0               
listing.md              listing/1                blt_std.pro   builtins  listing/0               
listutl3.md             encode_list/3            simplio.pro   builtins  number_list/3           
member.md               member/2                 blt_term.pro  builtins  member/2                
module_closure.md       module_closure/2         builtins.pro  builtins  module_closure/[2,3]    
module_closure.md       module_closure/3         builtins.pro  builtins  module_closure/[2,3]    
number_chars.md         number_chars/2           blt_atom.pro  builtins  number_chars/2          
number_chars.md         number_codes/2           blt_atom.pro  builtins  number_chars/2          
op.md                   op/3                     sio_rt.pro    sio       op/3                    
open.md                 open/3                   sio.pro       sio       open/[3,4]              
open.md                 open/4                   sio.pro       sio       open/[3,4]              
peek_code.md            peek_code/1              sio.pro       sio       peek_code/[1,2]         
peek_code.md            peek_code/2              sio.pro       sio       peek_code/[1,2]         
poll.md                 poll/2                   sio.pro       sio       poll/2                  
printf.md               printf/1                 blt_io.pro    builtins  printf/[1,2,3,4]        
printf.md               printf/2                 blt_io.pro    builtins  printf/[1,2,3,4]        
printf.md               printf/3                 blt_io.pro    builtins  printf/[1,2,3,4]        
printf.md               printf/4                 blt_io.pro    builtins  printf/[1,2,3,4]        
printf.md               printf_opt/3             blt_io.pro    builtins  printf/[1,2,3,4]        
procedures.md           all_ntbl_entries/4       blt_sys.pro   builtins  procedures/4            
procedures.md           all_procedures/4         blt_sys.pro   builtins  procedures/4            
procedures.md           procedures/4             blt_sys.pro   builtins  procedures/4            
put.md                  put/1                    sio_d10.pro   sio       put/1                   
put.md                  tab/1                    sio_d10.pro   sio       put/1                   
put_atom.md             put_atom/1               sio.pro       sio       put_atom/[1,2]          
put_atom.md             put_atom/2               sio.pro       sio       put_atom/[1,2]          
put_char.md             put_char/1               sio.pro       sio       put_char/[1,2]          
put_char.md             put_char/2               sio.pro       sio       put_char/[1,2]          
put_code.md             put_code/1               sio.pro       sio       put_code/[1,2]          
put_code.md             put_code/2               sio.pro       sio       put_code/[1,2]          
put_string.md           put_string/1             sio.pro       sio       put_string/[1,2]        
put_string.md           put_string/2             sio.pro       sio       put_string/[1,2]        
read.md                 read/1                   sio_rt.pro    sio       read/[1,2]              
read.md                 read/2                   sio_rt.pro    sio       read/[1,2]              
read.md                 read_term/2              sio_rt.pro    sio       read/[1,2]              
read.md                 read_term/3              sio_rt.pro    sio       read/[1,2]              
repeat.md               repeat/0                 blt_ctl.pro   builtins  repeat/0                
reverse.md              dreverse/2               blt_term.pro  builtins  reverse/2               
reverse.md              reverse/2                blt_term.pro  builtins  reverse/2               
rexec.md                rexec/2                  sio.pro       sio       rexec/2                 
save_image.md           save_image/2             blt_pckg.pro  builtins  save_image/2            
see.md                  see/1                    sio_d10.pro   sio       see/1                   
see.md                  seeing/1                 sio_d10.pro   sio       see/1                   
see.md                  seen/0                   sio_d10.pro   sio       see/1                   
setObjStruct.md         accessObjStruct/3        objs_run.pro  builtins  setObjStruct/3          
setObjStruct.md         setObjStruct/3           objs_run.pro  builtins  setObjStruct/3          
setPrologInterrupt.md   getPrologInterrupt/1     builtins.pro  builtins  setPrologInterrupt/1    
setPrologInterrupt.md   setPrologInterrupt/1     builtins.pro  builtins  setPrologInterrupt/1    
set_input.md            set_input/1              sio.pro       sio       set_input/1             
set_input.md            set_output/1             sio.pro       sio       set_input/1             
set_line_length.md      set_depth_computation/2  sio.pro       sio       set_line_length/2       
set_line_length.md      set_line_length/2        sio.pro       sio       set_line_length/2       
set_stream_position.md  set_stream_position/2    sio.pro       sio       set_stream_position/2   
setof.md                bagof/3                  blt_ctl.pro   builtins  setof/3                 
setof.md                findall/3                blt_ctl.pro   builtins  setof/3                 
setof.md                setof/3                  blt_ctl.pro   builtins  setof/3                 
sort.md                 keysort/2                blt_ctl.pro   builtins  sort/2                  
sort.md                 sort/2                   blt_term.pro  builtins  sort/2                  
sprintf.md              bufwrite/2               blt_io.pro    builtins  sprintf/3               
sprintf.md              bufwriteq/2              blt_io.pro    builtins  sprintf/3               
sprintf.md              sprintf/3                blt_io.pro    builtins  sprintf/3               
spy.md                  nospy/0                  debugger.pro  debugger  spy/[0,1]               
spy.md                  nospy/1                  debugger.pro  debugger  spy/[0,1]               
spy.md                  spy/0                    debugger.pro  debugger  spy/[0,1]               
spy.md                  spy/1                    debugger.pro  debugger  spy/[0,1]               
statistics.md           statistics/0             blt_sys.pro   builtins  statistics/[0,2]        
statistics.md           statistics/2             blt_std.pro   builtins  statistics/[0,2]        
stream_property.md      stream_property/2        sio.pro       sio       stream_property/2       
sub_atom.md             sub_atom/5               blt_atom.pro  builtins  sub_atom/5              
