Undocumented But Exported Builtins Predicates by Builtins File - 2019/7/1

Predicate     BltFile                            
math88k.pro   vr_length/2                        
math88k.pro   vr_mag/2                           
math88k.pro   vr_split/3                         
objects.pro   defineClass/2                      
objects.pro   defineClass/3                      
objs_run.pro  get_object_handle/2                
objs_run.pro  object_handle/2                    
objs_run.pro  send_all/2                         
objs_run.pro  send_each/2                        
objs_run.pro  send_parent/2                      
objs_run.pro  send_self/2                        
objs_run.pro  set_object_handle/2                
projects.pro  build_project/0                    
projects.pro  choose_mult_files/3                
projects.pro  launch_project/1                   
projects.pro  new_cref/0                         
projects.pro  open_cref/0                        
simplio.pro   dca/2                              
simplio.pro   nth/3                              
simplio.pro   output_prolog_list/1               
simplio.pro   output_prolog_list/6               
simplio.pro   output_prolog_list/7               
simplio.pro   position/3                         
simplio.pro   position/4                         
simplio.pro   query_user/3                       
simplio.pro   query_user/4                       
simplio.pro   query_user/5                       
simplio.pro   query_user/6                       
simplio.pro   simple_menu/3                      
simplio.pro   simple_menu/5                      
sio.pro       assign_alias/2                     
sio.pro       cancel_alias/1                     
sio.pro       current_alias/2                    
sio.pro       is_stream/2                        
sio.pro       set_stream_addl1/2                 
sio.pro       set_stream_addl2/2                 
sio.pro       set_stream_addl3/2                 
sio.pro       set_stream_blocking/2              
sio.pro       set_stream_buffer/2                
sio.pro       set_stream_eof_action/2            
sio.pro       set_stream_extra/2                 
sio.pro       set_stream_identifier/2            
sio.pro       set_stream_mode/2                  
sio.pro       set_stream_name/2                  
sio.pro       set_stream_open_status/2           
sio.pro       set_stream_pgoals/2                
sio.pro       set_stream_repositionability/2     
sio.pro       set_stream_snr_action/2            
sio.pro       set_stream_stype/2                 
sio.pro       set_stream_syntax_errors/2         
sio.pro       set_stream_token_list/2            
sio.pro       set_stream_type/2                  
sio.pro       set_stream_wt_depth_computation/2  
sio.pro       set_stream_wt_line_length/2        
sio.pro       set_stream_wt_maxdepth/2           
sio.pro       set_stream_wt_opts/2               
sio.pro       stream_addl1/2                     
sio.pro       stream_addl2/2                     
sio.pro       stream_addl3/2                     
sio.pro       stream_blocking/2                  
sio.pro       stream_buffer/2                    
sio.pro       stream_eof_action/2                
sio.pro       stream_extra/2                     
sio.pro       stream_identifier/2                
sio.pro       stream_mode/2                      
sio.pro       stream_name/2                      
sio.pro       stream_open_status/2               
sio.pro       stream_or_alias_ok/2               
sio.pro       stream_pgoals/2                    
sio.pro       stream_repositionability/2         
sio.pro       stream_snr_action/2                
sio.pro       stream_stype/2                     
sio.pro       stream_syntax_errors/2             
sio.pro       stream_token_list/2                
sio.pro       stream_type/2                      
sio.pro       stream_wt_depth_computation/2      
sio.pro       stream_wt_line_length/2            
sio.pro       stream_wt_maxdepth/2               
sio.pro       stream_wt_opts/2                   
tc_base.pro   do_type_comp/3                     
tc_base.pro   do_type_comp/5                     
tc_base.pro   do_type_comp/8                     
xconsult.pro  change_source_level_debugging/1    
xconsult.pro  change_source_level_debugging/2    
xconsult.pro  source_level_debugging/1           
xconsult.pro  xconsult/2                         
xconsult.pro  xconsult/3                         
xconsult.pro  xxconsult/5                        
